File Path,Status,Notes,RBAC_Issues,Implementation_Plan
"backend\routes\api\resignations.js","❌","Routes use legacy requireRole middleware","requireRole() should be replaced with requirePageAccess()","Replace requireRole with requirePageAccess"
"backend\routes\api\terminations.js","❌","Routes use legacy requireRole middleware","requireRole() should be replaced with requirePageAccess()","Replace requireRole with requirePageAccess"
"backend\routes\api\projects.js","❌","Routes use legacy requireRole middleware","requireRole() should be replaced with requirePageAccess()","Replace requireRole with requirePageAccess"
"backend\routes\api\project-notes.js","❌","Routes use legacy requireRole middleware","requireRole() should be replaced with requirePageAccess()","Replace requireRole with requirePageAccess"
"backend\routes\api\tasks.js","❌","Routes use legacy requireRole middleware","requireRole() should be replaced with requirePageAccess()","Replace requireRole with requirePageAccess"
"backend\routes\api\milestones.js","❌","Routes use legacy requireRole middleware","requireRole() should be replaced with requirePageAccess()","Replace requireRole with requirePageAccess"
"backend\routes\api\pipelines.js","❌","Routes use legacy requireRole middleware","requireRole() should be replaced with requirePageAccess()","Replace requireRole with requirePageAccess"
"backend\routes\api\leads.js","❌","Routes use legacy requireRole middleware","requireRole() should be replaced with requirePageAccess()","Replace requireRole with requirePageAccess"
"backend\routes\api\invoices.js","❌","Routes use legacy requireRole middleware","requireRole() should be replaced with requirePageAccess()","Replace requireRole with requirePageAccess"
"backend\routes\api\budgets.js","❌","Routes use legacy requireRole middleware","requireRole() should be replaced with requirePageAccess()","Replace requireRole with requirePageAccess"
"backend\routes\api\clients.js","❌","Routes use legacy requireRole middleware","requireRole() should be replaced with requirePageAccess()","Replace requireRole with requirePageAccess"
"backend\routes\api\resources.js","❌","Routes use legacy requireRole middleware","requireRole() should be replaced with requirePageAccess()","Replace requireRole with requirePageAccess"
"backend\routes\api\assets.js","❌","Routes use legacy requireRole middleware","requireRole() should be replaced with requirePageAccess()","Replace requireRole with requirePageAccess"
"backend\routes\api\asset-categories.js","❌","Routes use legacy requireRole middleware","requireRole() should be replaced with requirePageAccess()","Replace requireRole with requirePageAccess"
"backend\routes\api\activities.js","❌","Routes use legacy requireRole middleware","requireRole() should be replaced with requirePageAccess()","Replace requireRole with requirePageAccess"
"backend\routes\api\training.js","❌","Routes use legacy requireRole middleware","requireRole() should be replaced with requirePageAccess()","Replace requireRole with requirePageAccess"
"backend\routes\api\policies.js","❌","Routes use legacy requireRole middleware","requireRole() should be replaced with requirePageAccess()","Replace requireRole with requirePageAccess"
"backend\routes\api\user-profile.js","❌","Routes use legacy requireRole middleware","requireRole() should be replaced with requirePageAccess()","Replace requireRole with requirePageAccess"
"backend\routes\api\syncRole.routes.js","❌","Routes use legacy requireRole middleware","requireRole() should be replaced with requirePageAccess()","Replace requireRole with requirePageAccess"
"backend\routes\api\superadmin.companies.js","❌","Routes use legacy requireRole middleware","requireRole() should be replaced with requirePageAccess()","Replace requireRole with requirePageAccess"
"backend\routes\api\rbac\pages.js","✅","Routes use requirePageAccess middleware","",""
"backend\routes\api\rbac\pageCategories.routes.js","✅","Routes use requirePageAccess middleware","",""
"backend\routes\api\rbac\pagesHierarchy.js","✅","Routes use requirePageAccess middleware","",""
"backend\routes\api\rbac\permissions.js","✅","RBAC routes - no role checks needed","",""
"backend\routes\api\rbac\roles.js","✅","RBAC routes - no role checks needed","",""
"backend\routes\api\rbac\modules.js","✅","RBAC routes - no role checks needed","",""
"backend\controllers\rest\employee.controller.js","❌","Controller without RBAC middleware","Missing requirePageAccess or requireRole middleware","Add requirePageAccess middleware to controller routes"
"backend\controllers\rest\attendance.controller.js","❌","Controller without RBAC middleware","Missing requirePageAccess or requireRole middleware","Add requirePageAccess middleware to controller routes"
"backend\controllers\rest\hrDashboard.controller.js","❌","Controller without RBAC middleware","Missing requirePageAccess or requireRole middleware","Add requirePageAccess middleware to controller routes"
"backend\controllers\rest\adminDashboard.controller.js","❌","Controller without RBAC middleware","Missing requirePageAccess or requireRole middleware","Add requirePageAccess middleware to controller routes"
"backend\controllers\rbac\role.controller.js","✅","RBAC controller - permission based","",""
"backend\controllers\rbac\permission.controller.js","✅","RBAC controller - permission based","",""
"backend\controllers\rbac\module.controller.js","✅","RBAC controller - permission based","",""
"backend\controllers\rbac\page.controller.js","✅","RBAC controller - permission based","",""
"backend\controllers\superadmin\superadmin.controller.js","❌","Controller without RBAC middleware","Missing requirePageAccess or requireRole middleware","Add requirePageAccess middleware to controller routes"
"backend\controllers\superadmin\companies.controller.js","❌","Controller without RBAC middleware","Missing requirePageAccess or requireRole middleware","Add requirePageAccess middleware to controller routes"
"backend\controllers\superadmin\dashboard.controller.js","❌","Controller without RBAC middleware","Missing requirePageAccess or requireRole middleware","Add requirePageAccess middleware to controller routes"
"backend\controllers\superadmin\package.controller.js","❌","Controller without RBAC middleware","Missing requirePageAccess or requireRole middleware","Add requirePageAccess middleware to controller routes"
"backend\controllers\superadmin\subscription.controller.js","❌","Controller without RBAC middleware","Missing requirePageAccess or requireRole middleware","Add requirePageAccess middleware to controller routes"
"react\src\core\data\json\sidebarMenu.jsx","❌","Hardcoded role-based sidebar menu filtering","Uses switch statement with hardcoded roles (superadmin, hr, admin, etc.)","Replace with permission-based filtering using PermissionContext"
"react\src\core\data\json\horizontalSidebar.tsx","❌","Hardcoded role-based horizontal menu filtering","Uses roles: [] arrays with hardcoded role values","Replace with permission-based filtering"
"react\src\feature-module\router\withRoleCheck.jsx","❌","Legacy role-based route protection HOC","withRoleCheck uses hardcoded roles instead of permissions","Replace with PageAccessGuard or usePageAccess hook"
"react\src\hooks\usePageAccess.tsx","✅","Core permission/authorization hook","",""
"react\src\core\components\RoleBasedRenderer\index.tsx","❌","Component uses withRoleCheck","Uses legacy withRoleCheck HOC","Replace with permission-based rendering"
"react\src\core\components\RoleDebugger\index.tsx","✅","Permission debugging component","",""
"react\src\core\modals\AddEmployeeModal.tsx","🔄","Modal file - needs manual review for action buttons","May have unprotected action buttons","Review and wrap with PermissionButton"
"react\src\core\modals\EditEmployeeModal.tsx","🔄","Modal file - needs manual review for action buttons","May have unprotected action buttons","Review and wrap with PermissionButton"
"react\src\core\modals\AddSuperAdminModal.tsx","🔄","Modal file - needs manual review for action buttons","May have unprotected action buttons","Review and wrap with PermissionButton"
"react\src\core\modals\EditSuperAdminModal.tsx","🔄","Modal file - needs manual review for action buttons","May have unprotected action buttons","Review and wrap with PermissionButton"
"react\src\core\modals\add_company.tsx","🔄","Modal file - needs manual review for action buttons","May have unprotected action buttons","Review and wrap with PermissionButton"
"react\src\core\modals\edit_company.tsx","🔄","Modal file - needs manual review for action buttons","May have unprotected action buttons","Review and wrap with PermissionButton"
"react\src\core\modals\add_contact.tsx","🔄","Modal file - needs manual review for action buttons","May have unprotected action buttons","Review and wrap with PermissionButton"
"react\src\core\modals\edit_contact.tsx","🔄","Modal file - needs manual review for action buttons","May have unprotected action buttons","Review and wrap with PermissionButton"
"react\src\core\modals\add_leads.tsx","🔄","Modal file - needs manual review for action buttons","May have unprotected action buttons","Review and wrap with PermissionButton"
"react\src\core\modals\edit_leads.tsx","🔄","Modal file - needs manual review for action buttons","May have unprotected action buttons","Review and wrap with PermissionButton"
"react\src\core\modals\add_deals.tsx","🔄","Modal file - needs manual review for action buttons","May have unprotected action buttons","Review and wrap with PermissionButton"
"react\src\core\modals\edit_deals.tsx","🔄","Modal file - needs manual review for action buttons","May have unprotected action buttons","Review and wrap with PermissionButton"
"react\src\core\modals\add_pipeline.tsx","🔄","Modal file - needs manual review for action buttons","May have unprotected action buttons","Review and wrap with PermissionButton"
"react\src\core\modals\edit_pipeline.tsx","🔄","Modal file - needs manual review for action buttons","May have unprotected action buttons","Review and wrap with PermissionButton"
"react\src\core\modals\delete_pipeline.tsx","🔄","Modal file - needs manual review for action buttons","May have unprotected action buttons","Review and wrap with PermissionButton"
"react\src\core\modals\add_activity.tsx","🔄","Modal file - needs manual review for action buttons","May have unprotected action buttons","Review and wrap with PermissionButton"
"react\src\core\modals\edit_activity.tsx","🔄","Modal file - needs manual review for action buttons","May have unprotected action buttons","Review and wrap with PermissionButton"
"react\src\core\modals\delete_activity.tsx","🔄","Modal file - needs manual review for action buttons","May have unprotected action buttons","Review and wrap with PermissionButton"
"react\src\feature-module\hrm\employees\employeedetails.tsx","🔄","Feature module - needs manual review for RBAC","May have unprotected action buttons","Review for permission-based access controls"
"react\src\feature-module\hrm\employees\employeesGrid.tsx","🔄","Feature module - needs manual review for RBAC","May have unprotected action buttons","Review for permission-based access controls"
"react\src\feature-module\hrm\employees\employeesList.tsx","🔄","Feature module - needs manual review for RBAC","May have unprotected action buttons","Review for permission-based access controls"
"react\src\feature-module\hrm\attendance\attendanceadmin.tsx","🔄","Feature module - needs manual review for RBAC","May have unprotected action buttons","Review for permission-based access controls"
"react\src\feature-module\hrm\attendance\leaveAdmin.tsx","🔄","Feature module - needs manual review for RBAC","May have unprotected action buttons","Review for permission-based access controls"
"react\src\feature-module\hrm\attendance\leaveEmployee.tsx","🔄","Feature module - needs manual review for RBAC","May have unprotected action buttons","Review for permission-based access controls"
"react\src\feature-module\projects\project\project.tsx","🔄","Feature module - needs manual review for RBAC","May have unprotected action buttons","Review for permission-based access controls"
"react\src\feature-module\projects\task\task.tsx","🔄","Feature module - needs manual review for RBAC","May have unprotected action buttons","Review for permission-based access controls"
"react\src\feature-module\crm\leads\leadsList.tsx","🔄","Feature module - needs manual review for RBAC","May have unprotected action buttons","Review for permission-based access controls"
"react\src\feature-module\crm\contacts\contactList.tsx","🔄","Feature module - needs manual review for RBAC","May have unprotected action buttons","Review for permission-based access controls"
"react\src\feature-module\crm\deals\dealsList.tsx","🔄","Feature module - needs manual review for RBAC","May have unprotected action buttons","Review for permission-based access controls"
"react\src\feature-module\super-admin\rolePermission.tsx","✅","Uses permission-based access control","",""
"react\src\feature-module\super-admin\permissionpage.tsx","✅","Uses permission-based access control","",""
"react\src\feature-module\super-admin\users.tsx","✅","Uses permission-based access control","",""
"react\src\feature-module\administration\user-management\rolePermission.tsx","🔄","Feature module - needs manual review for RBAC","May use legacy role checks","Review for permission-based access controls"
"react\src\feature-module\administration\user-management\users.tsx","🔄","Feature module - needs manual review for RBAC","May use legacy role checks","Review for permission-based access controls"
"react\src\feature-module\administration\user-management\permissionpage.tsx","🔄","Feature module - needs manual review for RBAC","May use legacy role checks","Review for permission-based access controls"
"backend\tests\setup.js","➖","Test file - no RBAC needed","",""
"backend\tests\controllers\leave.controller.test.js","➖","Test file - no RBAC needed","",""
"backend\tests\controllers\employee.controller.test.js","➖","Test file - no RBAC needed","",""
"backend\tests\controllers\attendance.controller.test.js","➖","Test file - no RBAC needed","",""
"backend\tests\controllers\asset.controller.test.js","➖","Test file - no RBAC needed","",""
"backend\socket\test-socket.js","➖","Test file - no RBAC needed","",""
"backend\seeds\updateSeeds.js","➖","Seed/migration script - no RBAC needed","",""
"backend\seeds\socialFeed.seeds.js","➖","Seed/migration script - no RBAC needed","",""
"backend\seeds\getSeeds.js","➖","Seed/migration script - no RBAC needed","",""
"backend\seeds\employeeSeeds.js","➖","Seed/migration script - no RBAC needed","",""
"backend\seeds\deleteSeeds.js","➖","Seed/migration script - no RBAC needed","",""
"backend\scripts\verifyRbac.js","➖","Script file - no RBAC needed","",""
"backend\scripts\verifyEmbeddedPermissions.js","➖","Script file - no RBAC needed","",""
"backend\scripts\testSeed.js","➖","Script file - no RBAC needed","",""
"backend\scripts\testRbacApi.js","➖","Script file - no RBAC needed","",""
"backend\scripts\testEnv.js","➖","Script file - no RBAC needed","",""
"backend\scripts\seedRbac.js","➖","Script file - no RBAC needed","",""
"backend\scripts\seedPages.js","➖","Script file - no RBAC needed","",""
"backend\scripts\seedModules.js","➖","Script file - no RBAC needed","",""
"backend\scripts\runSeed.js","➖","Script file - no RBAC needed","",""
"backend\scripts\rollbackEmbeddedPermissions.js","➖","Script file - no RBAC needed","",""
"backend\scripts\migrateRolePermissions.js","➖","Script file - no RBAC needed","",""
"backend\scripts\fix-email-indexes.js","➖","Script file - no RBAC needed","",""
"backend\scripts\directSeed.js","➖","Script file - no RBAC needed","",""
"backend\scripts\debugConnection.js","➖","Script file - no RBAC needed","",""
"backend\scripts\createIndexes.js","➖","Script file - no RBAC needed","",""
"backend\scripts\compareStructures.js","➖","Script file - no RBAC needed","",""
"backend\scripts\cleanupModules.js","➖","Script file - no RBAC needed","",""
"backend\scripts\cleanup-duplicate-employee.js","➖","Script file - no RBAC needed","",""
"backend\scripts\backup.js","➖","Script file - no RBAC needed","",""
"backend\models\ticket.model.js","➖","Schema definition - no RBAC needed","",""
"backend\models\job.model.js","➖","Schema definition - no RBAC needed","",""
"backend\models\deal.model.js","➖","Schema definition - no RBAC needed","",""
"backend\models\training\training.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\timesheet\timesheet.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\timeEntry\timeEntry.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\task\taskstatus.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\task\task.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\superadmin\package.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\socialfeed\socialFeed.model.js","➖","Schema definition - no RBAC needed","",""
"backend\models\shift\shift.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\shift\batchAssignmentHistory.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\shift\batch.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\resource\resourceAllocation.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\rbac\rolePermission.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\rbac\role.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\rbac\permission.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\rbac\page.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\rbac\module.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\promotion\promotion.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\project\project.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\project\project.notes.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\policy\policy.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\plugins\softDeletePlugin.js","➖","Schema definition - no RBAC needed","",""
"backend\models\plugins\softDelete.js","➖","Schema definition - no RBAC needed","",""
"backend\models\pipeline\pipeline.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\performance\promotion.model.js","➖","Schema definition - no RBAC needed","",""
"backend\models\performance\performanceReview.model.js","➖","Schema definition - no RBAC needed","",""
"backend\models\performance\performanceIndicator.model.js","➖","Schema definition - no RBAC needed","",""
"backend\models\performance\performanceAppraisal.model.js","➖","Schema definition - no RBAC needed","",""
"backend\models\performance\goalType.model.js","➖","Schema definition - no RBAC needed","",""
"backend\models\performance\goalTracking.model.js","➖","Schema definition - no RBAC needed","",""
"backend\models\payroll\payroll.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\overtime\overtimeRequest.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\organization\designation.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\organization\department.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\milestone\milestone.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\leave\leaveType.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\leave\leave.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\lead\lead.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\kaban\kaban.model.js","➖","Schema definition - no RBAC needed","",""
"backend\models\invoice\invoice.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\invoice\invoice.js","➖","Schema definition - no RBAC needed","",""
"backend\models\holidayType\holidayType.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\holiday\holiday.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\employee\package.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\employee\employee.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\client\client.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\chat\message.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\chat\conversation.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\budget\budget.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\attendance\attendance.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\asset\asset.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\models\activity\activity.schema.js","➖","Schema definition - no RBAC needed","",""
"backend\migrations\migrateAttendanceEmployeeFields.js","➖","Migration script - no RBAC needed","",""
"backend\migrations\migrate-hr-status-fields.cjs","➖","Migration script - no RBAC needed","",""
"backend\migrations\fixPromotionDepartmentIdType.js","➖","Migration script - no RBAC needed","",""
"backend\migrations\cleanupEmployeeDuplicates.js","➖","Migration script - no RBAC needed","",""
"backend\migrations\cleanupEmployeeDuplicateFields.js","➖","Migration script - no RBAC needed","",""
"backend\migrations\addPersonalInfoFields.js","➖","Migration script - no RBAC needed","",""
"backend\migrations\addCompanyUserCount.js","➖","Migration script - no RBAC needed","",""
"backend\middleware\validate.js","➖","Middleware file (validation) - no RBAC needed","",""
"backend\middleware\rateLimiter.js","➖","Middleware file (rate limiting) - no RBAC needed","",""
"backend\middleware\errorHandler.js","➖","Middleware file (error handling) - no RBAC needed","",""
"backend\middleware\compression.js","➖","Middleware file (compression) - no RBAC needed","",""
"backend\jobs\promotionScheduler.js","➖","Job scheduler - no RBAC needed","",""
"backend\integration-tests\timesheet.api.test.js","➖","Test file - no RBAC needed","",""
"backend\integration-tests\dashboard.integration.test.js","➖","Test file - no RBAC needed","",""
"backend\docs\openapi.yaml","➖","Documentation file - no RBAC needed","",""
"backend\data\mockData.json","➖","Data file - no RBAC needed","",""
"backend\controllers\update_console_logs.sh","➖","Script file - no RBAC needed","",""
"backend\controllers\health.controller.js","➖","Health check endpoint - no RBAC needed","",""
"backend\controllers\webhooks\clerk.webhook.js","➖","Webhook handler - no RBAC needed","",""
"backend\services\trainingList.services.js","➖","Service file - business logic only","",""
"backend\services\leaveValidation.js","➖","Service file - business logic only","",""
"backend\services\user\user.services.js","➖","Service file - business logic only","",""
"backend\services\timeTracking\timeTracking.service.js","➖","Service file - business logic only","",""
"backend\services\tickets\tickets.services.js","➖","Service file - business logic only","",""
"backend\services\task\task.services.js","➖","Service file - business logic only","",""
"backend\services\superadmin\subscriptions.services.js","➖","Service file - business logic only","",""
"backend\services\superadmin\packages.services.js","➖","Service file - business logic only","",""
"backend\services\superadmin\dashboard.services.js","➖","Service file - business logic only","",""
"backend\services\superadmin\companies.services.js","➖","Service file - business logic only","",""
"backend\services\socialfeed\socialFeed.services.js","➖","Service file - business logic only","",""
"backend\services\shift\scheduleEngine.service.js","➖","Service file - business logic only","",""
"backend\services\resource\resource.service.js","➖","Service file - business logic only","",""
"backend\services\rbac\role.service.js","➖","Service file - business logic only","",""
"backend\services\rbac\permission.service.js","➖","Service file - business logic only","",""
"backend\services\rbac\module.service.js","➖","Service file - business logic only","",""
"backend\services\project\project.services.js","➖","Service file - business logic only","",""
"backend\services\project\project.notes.services.js","➖","Service file - business logic only","",""
"backend\services\pipeline\pipeline.services.js","➖","Service file - business logic only","",""
"backend\services\performance\promotion.services.js","➖","Service file - business logic only","",""
"backend\services\performance\performanceReview.services.js","➖","Service file - business logic only","",""
"backend\services\performance\performanceIndicator.services.js","➖","Service file - business logic only","",""
"backend\services\performance\performanceAppraisal.services.js","➖","Service file - business logic only","",""
"backend\services\performance\goalType.services.js","➖","Service file - business logic only","",""
"backend\services\performance\goalTracking.services.js","➖","Service file - business logic only","",""
"backend\services\payroll\salaryCalculator.js","➖","Service file - business logic only","",""
"backend\services\payroll\payslipGenerator.js","➖","Service file - business logic only","",""
"backend\services\pages\profilepage.services.js","➖","Service file - business logic only","",""
"backend\services\milestone\milestone.service.js","➖","Service file - business logic only","",""
"backend\services\lead\lead.services.js","➖","Service file - business logic only","",""
"backend\services\kaban\kaban.services.js","➖","Service file - business logic only","",""
"backend\services\jobs\jobs.services.js","➖","Service file - business logic only","",""
"backend\services\invoice\invoice.services.js","➖","Service file - business logic only","",""
"backend\services\hr\trainingTypes.services.js","➖","Service file - business logic only","",""
"backend\services\hr\trainingList.services.js","➖","Service file - business logic only","",""
"backend\services\hr\trainers.services.js","➖","Service file - business logic only","",""
"backend\services\hr\termination.services.js","➖","Service file - business logic only","",""
"backend\services\hr\resignation.services.js","➖","Service file - business logic only","",""
"backend\services\hr\hrm.policy.js","➖","Service file - business logic only","",""
"backend\services\hr\hrm.holidayTypes.js","➖","Service file - business logic only","",""
"backend\services\hr\hrm.holidays.js","➖","Service file - business logic only","",""
"backend\services\hr\hrm.employee.js","➖","Service file - business logic only","",""
"backend\services\hr\hrm.designation.js","➖","Service file - business logic only","",""
"backend\services\hr\hrm.department.js","➖","Service file - business logic only","",""
"backend\services\hr\hrm.dashboard.js","➖","Service file - business logic only","",""
"backend\services\hr\employeeDeletion.service.js","➖","Service file - business logic only","",""
"backend\services\employee\notes.services.js","➖","Service file - business logic only","",""
"backend\services\employee\employee.services.js","➖","Service file - business logic only","",""
"backend\services\employee\dashboard.services.js","➖","Service file - business logic only","",""
"backend\services\email\emailService.js","➖","Service file - business logic only","",""
"backend\services\deal\deal.services.js","➖","Service file - business logic only","",""
"backend\services\contact\contact.services.js","➖","Service file - business logic only","",""
"backend\services\company\company.services.js","➖","Service file - business logic only","",""
"backend\services\client\client.services.js","➖","Service file - business logic only","",""
"backend\services\chat\chat.services.js","➖","Service file - business logic only","",""
"backend\services\candidates\candidates.services.js","➖","Service file - business logic only","",""
"backend\services\budget\budget.service.js","➖","Service file - business logic only","",""
"backend\services\assets\assets.services.js","➖","Service file - business logic only","",""
"backend\services\assets\assetCategory.services.js","➖","Service file - business logic only","",""
"backend\services\admin\admin.services.js","➖","Service file - business logic only","",""
"backend\services\addInvoice\addInvoice.services.js","➖","Service file - business logic only","",""
"backend\services\activities\activities.services.js","➖","Service file - business logic only","",""
"react\src\feature-module\auth\login\login.tsx","➖","Auth/public page - no RBAC needed","",""
"react\src\feature-module\auth\login\login-2.tsx","➖","Auth/public page - no RBAC needed","",""
"react\src\feature-module\auth\login\login-3.tsx","➖","Auth/public page - no RBAC needed","",""
"react\src\feature-module\auth\register\register.tsx","➖","Auth/public page - no RBAC needed","",""
"react\src\feature-module\auth\register\register-2.tsx","➖","Auth/public page - no RBAC needed","",""
"react\src\feature-module\auth\register\register-3.tsx","➖","Auth/public page - no RBAC needed","",""
"react\src\feature-module\auth\forgotPassword\forgotPassword.tsx","➖","Auth/public page - no RBAC needed","",""
"react\src\feature-module\auth\forgotPassword\forgotPassword-2.tsx","➖","Auth/public page - no RBAC needed","",""
"react\src\feature-module\auth\forgotPassword\forgotPassword-3.tsx","➖","Auth/public page - no RBAC needed","",""
"react\src\feature-module\auth\resetPassword\resetPassword.tsx","➖","Auth/public page - no RBAC needed","",""
"react\src\feature-module\auth\resetPassword\resetPassword-2.tsx","➖","Auth/public page - no RBAC needed","",""
"react\src\feature-module\auth\resetPassword\resetPassword-3.tsx","➖","Auth/public page - no RBAC needed","",""
"react\src\feature-module\auth\resetPasswordSuccess\resetPasswordSuccess.tsx","➖","Auth/public page - no RBAC needed","",""
"react\src\feature-module\auth\resetPasswordSuccess\resetPasswordSuccess-2.tsx","➖","Auth/public page - no RBAC needed","",""
"react\src\feature-module\auth\resetPasswordSuccess\resetPasswordSuccess-3.tsx","➖","Auth/public page - no RBAC needed","",""
"react\src\feature-module\auth\emailVerification\emailVerification.tsx","➖","Auth/public page - no RBAC needed","",""
"react\src\feature-module\auth\emailVerification\emailVerification-2.tsx","➖","Auth/public page - no RBAC needed","",""
"react\src\feature-module\auth\emailVerification\emailVerification-3.tsx","➖","Auth/public page - no RBAC needed","",""
"react\src\feature-module\auth\twoStepVerification\twoStepVerification.tsx","➖","Auth/public page - no RBAC needed","",""
"react\src\feature-module\auth\twoStepVerification\twoStepVerification-2.tsx","➖","Auth/public page - no RBAC needed","",""
"react\src\feature-module\auth\twoStepVerification\twoStepVerification-3.tsx","➖","Auth/public page - no RBAC needed","",""
"react\src\feature-module\auth\lockScreen.tsx","➖","Auth/public page - no RBAC needed","",""
"react\src\feature-module\uiInterface\advanced-ui\clipboard.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\advanced-ui\counter.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\advanced-ui\dragdrop.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\advanced-ui\rangeslider.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\advanced-ui\rating.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\advanced-ui\ribbon.tsx","➖","UI Interface demo page - no RBAC needed","",""
